index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
144,111010100101,0.0009,32.0,False,False,True,False,False,True,True
145,100010000000,0.0009,10.0,False,False,False,False,False,True,True
146,010001110011,0.0009,26.0,False,False,False,True,True,True,True
147,100000011000,0.0009,12.0,False,True,False,False,True,True,True
148,010000100010,0.00089,15.0,False,False,True,True,False,True,True
149,010001010001,0.00089,18.0,False,False,False,False,True,True,True
150,000101111111,0.00089,22.0,False,False,True,True,False,True,True
151,001100001100,0.00089,10.0,False,False,False,True,True,True,True
152,010110101110,0.00089,24.0,True,True,True,True,True,True,True
153,110001111010,0.00088,30.0,False,True,False,True,True,True,True
154,101101100011,0.00088,25.0,False,True,True,False,True,True,True
155,010011101011,0.00088,24.0,False,True,False,True,False,True,True
156,100001100010,0.00088,15.0,False,True,True,True,False,True,True
157,001101111111,0.00088,29.0,False,False,True,False,False,True,True
158,010110011100,0.00088,24.0,False,True,True,False,False,True,True
159,100011110000,0.00088,29.0,False,False,True,True,True,True,False
160,010010110101,0.00087,29.0,True,True,True,True,True,True,True
161,101110101111,0.00087,28.0,False,False,False,False,True,True,True
162,011011010111,0.00087,31.0,False,True,False,True,True,True,True
163,101111000000,0.00087,23.0,False,False,True,True,True,True,True
164,100000001100,0.00087,4.0,False,True,False,False,False,True,True
165,100110111100,0.00086,29.0,False,False,False,True,False,True,True
166,110010111100,0.00086,33.0,False,False,True,True,True,True,True
167,010010100011,0.00086,21.0,False,True,True,True,False,True,True
168,101110101100,0.00086,28.0,False,False,False,False,True,True,True
169,101101000001,0.00086,17.0,True,True,True,True,True,True,True
170,100111100100,0.00085,24.0,False,False,True,True,True,True,True
171,000101001100,0.00085,6.0,False,False,True,False,True,True,True
172,000110011100,0.00084,17.0,False,True,False,False,False,True,True
173,101001011000,0.00084,22.0,True,True,True,True,True,True,True
174,101110001110,0.00083,20.0,False,False,False,True,True,True,True
175,011011110111,0.00083,39.0,False,True,False,False,True,True,False
176,100110110101,0.00083,29.0,False,False,False,True,False,True,True
177,110011001000,0.00082,20.0,False,False,False,False,False,True,True
178,000101010011,0.00082,14.0,False,False,True,False,False,True,True
179,101010011110,0.00082,25.0,False,False,False,True,True,True,True
180,100100011100,0.00082,15.0,False,True,False,False,False,True,True
181,011111100101,0.00082,34.0,False,True,False,False,True,True,True
182,011001001011,0.00082,17.0,False,False,False,True,False,True,True
183,010011100000,0.00081,24.0,False,True,False,True,False,True,True
184,100001110110,0.00081,23.0,True,True,True,True,True,True,True
185,000011000010,0.00081,9.0,False,True,True,False,False,True,True
186,100010110001,0.00081,26.0,False,False,False,True,True,True,True
187,111100101111,0.00081,29.0,False,True,True,False,True,False,True
188,010000100011,0.00081,15.0,False,False,True,True,False,True,True
189,101110110000,0.00081,36.0,False,False,False,False,False,True,True
190,000000011000,0.0008,8.0,False,False,False,False,True,True,True
191,110110011100,0.0008,28.0,False,False,True,False,False,True,True
192,011110101100,0.0008,31.0,False,True,True,False,True,True,True
193,010011010010,0.00079,24.0,False,True,False,False,True,True,True
194,100001001000,0.00079,7.0,False,True,True,False,False,True,True
195,101001010000,0.00079,22.0,True,True,True,True,True,True,True
196,011000101100,0.00079,22.0,False,False,True,False,False,True,True
197,011011100100,0.00079,31.0,False,True,False,False,False,True,True
198,010001100110,0.00079,18.0,False,False,False,True,False,True,True
199,100001100001,0.00079,15.0,False,True,True,True,False,True,True
200,000001100010,0.00079,11.0,False,False,True,True,False,True,True
201,100111111111,0.00079,32.0,False,False,True,True,False,True,False
202,011111011110,0.00079,34.0,False,True,False,True,False,True,True
203,000011101011,0.00078,17.0,False,True,True,True,False,True,True
